question,summary_answer,difficulty,intent,relevant_lines,filename
optional export results in DataFrame,You can export and preview the results of the evaluations in a DataFrame format using the provided method.,beginner,code,97-101,docs/library/descriptors.mdx
configuring and running reports,"A step-by-step guide is provided for configuring and running reports using the `TextEvals` preset, summarizing descriptor results.",intermediate,code,105-113,docs/library/descriptors.mdx
multi-column descriptors,"It describes how to use multi-column descriptors to compare different columns for evaluations, such as semantic similarity checks.",advanced,text,148-148,docs/library/descriptors.mdx
defining pass/fail checks in descriptors,"You can define pass/fail checks using Descriptor Tests, allowing for more detailed evaluations of text quality against specified conditions.",intermediate,code,172-176,docs/library/descriptors.mdx
creating a custom report with metrics,The article explains how to create a customized report that uses different metrics for a more specific analysis of the text data.,advanced,code,281-287,docs/library/descriptors.mdx
integrating LLM as a judge,"There are built-in descriptors that utilize external LLMs to score text evaluations, requiring API keys for operation.",advanced,code,156-161,docs/library/descriptors.mdx
testing existing column values,You can run tests on existing columns using the `ColumnTest` feature to work with precomputed values or metadata.,intermediate,code,250-256,docs/library/descriptors.mdx
how to log eval results in Evidently,The article explains how to log evaluation results by connecting to Evidently Cloud or a local workspace and creating a project.,beginner,text,lines 5-7,docs/library/evaluations_overview.mdx
create Dataset object with DataDefinition,"The article details the process of creating a Dataset object using the DataDefinition(), which specifies column roles and types, along with an implementation example.",intermediate,code,lines 14-21,docs/library/evaluations_overview.mdx
add descriptors in text evaluation,"The article outlines how to choose and compute row-level descriptors for text evaluations, including a code snippet demonstrating the addition of `TextLength` and `Sentiment` descriptors.",intermediate,code,lines 25-32,docs/library/evaluations_overview.mdx
metric generator examples in evidently,The article provides several examples demonstrating how to use metric generator functions in Evidently to apply metrics like `ValueDrift` across different columns in datasets.,beginner,code,lines 51-84,docs/library/metric_generator.mdx
how to apply metrics to dataset columns evidently,It explains how to use ColumnMetricGenerator to apply metrics to all columns or specific columns using metric_kwargs parameters.,intermediate,text,lines 62-72,docs/library/metric_generator.mdx
export evaluation results in different formats,"The article explains how to export evaluation results in multiple formats, such as HTML, JSON, and Python dictionaries, with relevant code examples provided for each format.",beginner,code,"lines 1, 33-37, 43-54, 57-64",docs/library/output_formats.mdx
evidently python library overview,"The article introduces the Evidently Python library as an open-source tool for evaluating, testing, and monitoring AI systems from experimentation to production.",beginner,text,lines 1-3,docs/library/overview.mdx
how to integrate evidently library,"You can integrate the Evidently library into existing workflows by exporting scores as JSON or DataFrames, or using it with the Evidently Monitoring Platform.",intermediate,code,lines 33-38,docs/library/overview.mdx
evidently library features,"The Evidently library includes features for AI/ML evaluations, synthetic data generation, prompt optimization, and a visualization UI for tracking results.",beginner,text,lines 7-8,docs/library/overview.mdx
json export in evidently library,"Evidently allows you to export evaluation results as JSON or Python dictionaries, making it easy to share and integrate with other systems.",intermediate,code,lines 33-33,docs/library/overview.mdx
generating synthetic data evidently,"Evidently includes functionality for generating synthetic datasets tailored for LLMs, such as RAG-style question-answer pairs.",beginner,text,lines 57-57,docs/library/overview.mdx
evidently evaluation metrics,"The library provides over 100 built-in metrics for evaluating AI and ML systems, covering various tasks including classification, regression, and data quality checks.",intermediate,text,lines 15-15,docs/library/overview.mdx
visual reports with evidently,"You can generate visual reports in Jupyter or export as HTML, which effectively present evaluation results over time.",intermediate,code,lines 35-35,docs/library/overview.mdx
evidently library for testing,"Evidently is designed to run evaluations on AI systems, testing inputs and outputs for various metrics, including data quality checks.",intermediate,code,lines 19-19,docs/library/overview.mdx
building evaluations in evidently,"You can build evaluations using the 'Dataset' objects, which allow for detailed tracking and evaluation of AI outputs.",intermediate,code,lines 166-166,docs/library/overview.mdx
how to install evidently library,"The article does not provide installation steps, but typically you can install Python libraries through pip in your terminal.",beginner,text,lines 1-1,docs/library/overview.mdx
evidently tracking UI,"Evidently includes a minimal UI for tracking and visualizing evaluation results over time, storing multiple evaluations for comparison.",intermediate,text,lines 75-81,docs/library/overview.mdx
speed optimization evidently evaluations,"For large datasets, it's efficient to use samples for evaluations to speed up processing, especially in data drift detection.",advanced,text,lines 180-187,docs/library/overview.mdx
evaluating classification quality evidently,"To evaluate classification quality, use classification logs with predicted and actual labels in a dataset for assessments.",intermediate,code,lines 128-128,docs/library/overview.mdx
evidently test suites,"Test suites in Evidently allow for running multiple conditional tests on datasets, validating results against specific expectations.",advanced,code,lines 285-291,docs/library/overview.mdx
custom descriptors in evidently,"You can create custom descriptors for evaluating LLM outputs, assigning specific quality assessments at the row level.",advanced,code,lines 197-199,docs/library/overview.mdx
data input types evidently,"Evidently can handle various data types, such as numerical, categorical, and text, across multiple datasets for evaluations.",intermediate,text,lines 102-104,docs/library/overview.mdx
integration with airflow evidently,You can integrate Evidently with Airflow to automate evaluation processes and trigger alerts based on test results.,advanced,code,lines 354-354,docs/library/overview.mdx
working with pandas DataFrame in evidently,"Evidently evaluates data by preparing it as a pandas DataFrame, which can include various types of columns for analysis.",beginner,text,lines 104-104,docs/library/overview.mdx
classifying data drift in evidently,Evidently provides tools to identify shifts in data distribution using the DataDrift preset designed for this purpose.,intermediate,code,lines 249-250,docs/library/overview.mdx
visualization capabilities of evidently,"The library enables generating visual reports to summarize evaluation results, which can be presented in user-friendly formats like HTML.",intermediate,code,lines 35-35,docs/library/overview.mdx
evidently report generation overview,"The article introduces how to generate reports using Evidently, emphasizing dataset evaluations and providing links to core concepts and prerequisites.",beginner,text,1-1,docs/library/report.mdx
python code to create report in evidently,"The article includes example Python code for creating a report with various metrics, showcasing how to implement it using the Evidently library.",beginner,code,19-21,docs/library/report.mdx
using metrics in evidently report,"You can customize reports in Evidently by selecting different metrics, with the article detailing how to use both pre-built presets and custom metrics for report generation.",intermediate,code,25-27,docs/library/report.mdx
group by metric in evidently,"The article explains how to use the GroupBy metric in Evidently for calculating metrics separately across categories, demonstrated through a code snippet.",advanced,code,149-161,docs/library/report.mdx
adding tags to reports in Evidently,"The article discusses how to add tags to reports to enhance searching and filtering, including examples of tagging by model version and status.",beginner,code,lines 19-28,docs/library/tags_metadata.mdx
custom metadata in Evidently,"It explains how to pass custom metadata as a Python dictionary in key:value pairs when creating a report, with code examples provided.",intermediate,code,lines 39-48,docs/library/tags_metadata.mdx
how to validate conditions with tests,"The article explains that tests allow users to validate data conditions and receive Pass/Fail results, integrated into the reporting process.",beginner,text,1-1,docs/library/tests.mdx
using report for tests in Python,The article provides import statements and the structure to create a report with tests in Python using the Evidently library.,beginner,code,13-19,docs/library/tests.mdx
difference between test presets and custom tests,"Test presets automatically generate checks, while custom tests allow users to define specific conditions for validating metrics manually.",intermediate,text,24-30,docs/library/tests.mdx
example of using reference datasets for tests,"The article illustrates how to use a reference dataset to validate the current dataset against predefined conditions, including missing values checks.",intermediate,code,53-59,docs/library/tests.mdx
setting custom test conditions,"You can define specific pass/fail conditions for metrics in tests, such as setting minimum values or checking for completeness.",intermediate,code,109-111,docs/library/tests.mdx
how to exclude tests in report,The article details how to exclude specific tests by setting the tests option to None or an empty list in the Report configuration.,intermediate,code,95-105,docs/library/tests.mdx
Test parameter examples with conditions,"Examples of test parameters like `eq()`, `gt()`, and `is_in` are provided, showing how to set conditions for different validation needs.",advanced,code,134-146,docs/library/tests.mdx
using multiple checks for the same metric,"You can add multiple conditions to a single metric in tests to validate against various criteria, enhancing the evaluation robustness.",advanced,code,169-171,docs/library/tests.mdx
setting test criticality in conditions,"The article explains how to control the criticality of test results, allowing users to receive warnings for non-critical issues instead of failures.",advanced,text,222-230,docs/library/tests.mdx
setting up alerts in Evidently,"The article details how to set up alerts in Evidently by configuring notification channels like email or Slack, and defining alert conditions based on failed tests or custom metrics.",beginner,code,lines 7-37,docs/platform/alerts.mdx
add panel to dashboard python,The article explains how to add panels to a dashboard using the Python API by providing relevant code examples and parameters.,beginner,code,lines 43-68,docs/platform/dashboard_add_panels.mdx
delete a tab from dashboard python,Instructions for deleting a tab from the dashboard using the Python API are provided along with the corresponding code.,beginner,code,lines 21-24,docs/platform/dashboard_add_panels.mdx
setup project in evidently cloud,The article mentions that users must connect to Evidently Cloud and create a project before adding panels to the dashboard.,beginner,text,lines 9-10,docs/platform/dashboard_add_panels.mdx
add multiple panels at once,"You can add multiple panels at once in a specified order, as detailed in the article with examples.",intermediate,code,lines 52-52,docs/platform/dashboard_add_panels.mdx
panel options explained,"The article provides a comprehensive summary of all parameters available for customizing panels, such as title, size, and plot types.",intermediate,text,lines 211-222,docs/platform/dashboard_add_panels.mdx
clear dashboard python,"To delete all tabs and panels on the dashboard, the article includes the relevant Python API command for clearing the dashboard.",beginner,code,lines 35-38,docs/platform/dashboard_add_panels.mdx
using text-only panels,Instructions on how to add text-only panels suitable for titles are provided with a code example in the article.,beginner,code,lines 56-70,docs/platform/dashboard_add_panels.mdx
panel metric options,"The article discusses various options for defining metrics in panels, including how to reference values correctly.",intermediate,text,lines 227-320,docs/platform/dashboard_add_panels.mdx
create a new tab in dashboard,"You can create a new tab while adding a panel, and the article explains how this works with examples.",beginner,code,lines 19-19,docs/platform/dashboard_add_panels.mdx
delete a specific panel code,How to delete a specific panel from a dashboard is described along with code snippets.,beginner,code,lines 27-31,docs/platform/dashboard_add_panels.mdx
add counters panel example,The article provides code examples on how to add counter panels that show values with optional text.,intermediate,code,lines 85-122,docs/platform/dashboard_add_panels.mdx
difference between plot types,"The article details different plot types available for panels, such as line and bar charts, including how to implement them.",advanced,text,lines 140-150,docs/platform/dashboard_add_panels.mdx
using metric labels with panels,"How to use metric labels for specific metrics when adding panels is clearly laid out, providing useful code examples.",advanced,text,lines 259-320,docs/platform/dashboard_add_panels.mdx
how to add tabs in dashboards,"The article explains that you can add tabs by entering 'Edit' mode on the Dashboard and clicking the plus sign to add a new tab, providing steps on how to create a custom tab.",beginner,code,13-15,docs/platform/dashboard_add_panels_ui.mdx
types of panels in Evidently dashboards,"It describes various panel types you can add to the dashboard, including text panels, counters, pie charts, and line plots, allowing users to visualize evaluation results.",beginner,text,33-33,docs/platform/dashboard_add_panels_ui.mdx
configuring metrics for dashboard panels,"The article covers how to select and filter metrics for panels, detailing the steps to ensure the selected metrics match those in the Reports for the Project.",intermediate,code,51-53,docs/platform/dashboard_add_panels_ui.mdx
deleting and editing dashboard panels,It provides instructions on how to delete or edit existing panels by entering Edit mode and selecting the action for the specific panel you wish to modify.,intermediate,code,65-67,docs/platform/dashboard_add_panels_ui.mdx
dashboard features in Evidently,"The article explains the various features of the Dashboard, including available tabs, panels, and the importance of Reports as a data source.",beginner,text,lines 1-21,docs/platform/dashboard_overview.mdx
how to add panels in Evidently dashboard,It describes two methods for adding Panels to the Dashboard: using the Python API for coding or directly through the UI in Cloud and Enterprise versions.,intermediate,code,lines 32-34,docs/platform/dashboard_overview.mdx
dataset creation methods in Evidently,"The article outlines several methods to create datasets in Evidently, including uploading CSV files, attaching datasets to reports, generating synthetic data, and creating datasets from tracing.",beginner,code,11-21,docs/platform/datasets_overview.mdx
definition of dataset in Evidently,"A dataset in Evidently is defined as a collection of data from your application used for analysis and automated checks, allowing for both existing and synthetic datasets.",beginner,text,5-7,docs/platform/datasets_overview.mdx
how to upload a dataset in Evidently,"To upload a dataset in Evidently, use the `add_dataset` method after preparing your dataset as an Evidently Dataset with the necessary data definition.",beginner,code,lines 9-20,docs/platform/datasets_workflow.mdx
Evidently dataset data definition example,"A data definition in Evidently helps specify the purpose of each column in your dataset, which is crucial for its evaluation and management.",intermediate,text,lines 26-26,docs/platform/datasets_workflow.mdx
evidently run evals example,"The article provides a simple code example for running an eval using the Evidently Python library, including the necessary setup for creating evaluation data and uploading results.",beginner,code,lines 11-24,docs/platform/evals_api.mdx
uploading raw data to evidently,"The document explains the process of uploading raw data or evaluation results to the Evidently platform, detailing the options available during this upload process.",intermediate,text,lines 53-63,docs/platform/evals_api.mdx
how to access evaluation reports,"To access your evaluation reports, navigate to your Project and go to the 'Reports' section in the left menu where you can view and download evaluation artifacts.",beginner,text,lines 3-3,docs/platform/evals_explore.mdx
create dataset from CSV no code,"The article explains how to create a dataset by uploading a CSV directly through the user interface, including specifying data definitions upon upload.",beginner,code,lines 5-8,docs/platform/evals_no_code.mdx
starting evaluation with descriptors,It describes how to start an evaluation by adding descriptors from the dataset view and optional configuration with LLM providers.,beginner,code,lines 18-24,docs/platform/evals_no_code.mdx
model-based evaluation methods,"The article details different evaluation methods available, including model-based, regex, text stats, and LLM-based evaluations.",intermediate,text,lines 28-33,docs/platform/evals_no_code.mdx
configuring LLM evaluator,"It provides a guide on how to set up a custom LLM evaluator, including the parameters needed for the evaluation process.",advanced,code,lines 69-84,docs/platform/evals_no_code.mdx
AI product evaluation methods,"The article outlines various evaluation methods such as ad hoc analysis, experiments, safety testing, regression testing, and monitoring for AI product development.",beginner,text,lines 1-11,docs/platform/evals_overview.mdx
running evals on Evidently platform,"The article explains how to run evaluations via API or through a no-code interface on the Evidently platform, detailing the steps for both methods.",intermediate,code,lines 13-51,docs/platform/evals_overview.mdx
batch monitoring examples with Evidently,The article offers a simple example showcasing how to run batch monitoring jobs by connecting to Evidently Cloud and uploading dataset statistics to a workspace.,beginner,code,"lines 5, 13-26",docs/platform/monitoring_local_batch.mdx
how to configure reports in Evidently,"It describes the steps to define and configure an Evidently Report, including setting metrics and uploading results effectively as part of batch monitoring.",intermediate,text,lines 35-50,docs/platform/monitoring_local_batch.mdx
AI observability monitoring overview,"The article explains how AI observability enables tracking input/output quality of AI applications in production, helping to identify and fix issues.",beginner,text,lines 1-1,docs/platform/monitoring_overview.mdx
setting up batch monitoring in Evidently,"Evidently offers a streamlined way to set up batch monitoring jobs, including creating evaluation pipelines and running metric calculations.",intermediate,code,lines 15-29,docs/platform/monitoring_overview.mdx
using Tracely library for data capture,The article outlines how to use the Tracely library to instrument applications for capturing detailed input and output data for LLM-powered applications.,advanced,code,lines 45-57,docs/platform/monitoring_overview.mdx
Evidently Platform features overview,"The article outlines key features of the Evidently Platform, including evaluations, dataset management, synthetic data generation, regression testing, monitoring, and tracing capabilities.",beginner,text,lines 5-5,docs/platform/overview.mdx
How to run evaluations with Evidently,"The Evidently Platform allows users to run evaluations locally or via a no-code interface using 100+ built-in evals and templates, enhancing experimentation tracking and debugging.",intermediate,code,lines 13-13,docs/platform/overview.mdx
create project in Evidently Python example,"The article provides a code example for creating a project in Evidently using Python, specifying organization ID or without it for self-hosting.",beginner,code,lines 9-22,docs/platform/projects_manage.mdx
how to connect to an existing project in Python,"Instructions for connecting to an existing project using Python's `get_project` method are included in the article, including a code snippet.",beginner,code,lines 39-43,docs/platform/projects_manage.mdx
delete project in Evidently warning,The article warns that deleting a project will remove all data inside it and provides the necessary steps to delete a project via both Python and UI.,intermediate,text,lines 69-86,docs/platform/projects_manage.mdx
project parameters Evidently,"Details on the parameters for each project are listed, including examples for attributes like name, ID, description, and time range.",advanced,text,lines 91-99,docs/platform/projects_manage.mdx
overview of projects in Evidently,"The article provides an overview of Projects in Evidently, explaining their purpose in organizing data, reports, and evaluations across different platforms like Evidently OSS, Cloud, and Enterprise.",beginner,text,lines 2-7,docs/platform/projects_overview.mdx
tracing in Evidently,"The article explains that tracing in Evidently captures detailed records of AI application operations, using the open-source `Tracely` library for data collection and evaluation.",beginner,text,lines 5-11,docs/platform/tracing_overview.mdx
pip install tracely example,"The article provides a quick command to install the `tracely` package using pip, which is essential for setting up tracing.",beginner,code,lines 7-11,docs/platform/tracing_setup.mdx
how to initialize tracing with tracely,"To initialize tracing, use the `init_tracing` function along with required parameters like address, API key, and project ID.",beginner,code,lines 19-29,docs/platform/tracing_setup.mdx
get export_id for tracing dataset,The `export_id` of the tracing dataset can be obtained by calling the `get_info()` function after initializing tracely.,intermediate,code,lines 48-54,docs/platform/tracing_setup.mdx
tracing dataset id example,"The export ID serves as a dataset ID for downloading traces, which is mentioned in relation to the datasets API.",intermediate,text,lines 56-56,docs/platform/tracing_setup.mdx
using trace_event decorator,The article explains how to use the `@trace_event` decorator to collect traces for specific functions in your application.,beginner,code,lines 61-71,docs/platform/tracing_setup.mdx
trace function arguments example,You can specify which function arguments to log in the trace by using parameters like `track_args` in the `@trace_event` decorator.,intermediate,code,lines 73-91,docs/platform/tracing_setup.mdx
multi-step tracing in LLM workflows,The article discusses how to trace multi-step workflows by nesting functions with `@trace_event` for detailed tracing.,advanced,text,lines 105-107,docs/platform/tracing_setup.mdx
context manager for tracing,You can create trace events using a context manager for specific pieces of code to gain fine-grained control over tracing.,intermediate,code,lines 139-159,docs/platform/tracing_setup.mdx
set attributes for trace events,You can add custom attributes to active span events using the `get_current_span()` method.,intermediate,code,lines 194-210,docs/platform/tracing_setup.mdx
linking events to a trace,"Using the `tracely.bind_to_trace` function, you can link different events into a single trace for better tracking across systems.",advanced,text,lines 222-240,docs/platform/tracing_setup.mdx
Evidently Cloud account setup steps,"The article outlines how to create a free account on Evidently Cloud, set up an organization, generate an API token, and connect using the Evidently Python library.",beginner,text,"lines 1-4, 12-24",docs/setup/cloud.mdx
create local workspace evidently,"To create a local workspace in Evidently, you can use the command `ws = Workspace.create(""evidently_ui_workspace"")` after installing the Evidently library.",beginner,code,lines 12-41,docs/setup/self-hosting.mdx
launch evidently ui service,"To launch the Evidently UI service, you can use the command `evidently ui` in your terminal from the directory containing your workspace.",beginner,code,lines 103-125,docs/setup/self-hosting.mdx
evidently workspace parameters,"When creating a remote workspace, you can specify parameters like `base_url` for the remote service and `secret` for access protection.",intermediate,text,lines 61-72,docs/setup/self-hosting.mdx
evidently remote data storage,You can store snapshots in a remote data store (like S3) and access them using the `fsspec` library in Evidently.,intermediate,code,lines 74-87,docs/setup/self-hosting.mdx
delete workspace command evidently,"To delete a workspace in Evidently, use the terminal command `rm -r workspace`, but be aware that all data will be permanently deleted.",advanced,text,lines 90-100,docs/setup/self-hosting.mdx
automated testing LLM outputs GitHub Actions,"The article outlines how to use Evidently with GitHub Actions to automatically test LLM outputs with every code push or pull request, ensuring feedback through detailed reports.",beginner,code,lines 1-2,examples/GitHub_actions.mdx
basic LLM evaluation setup guide,"The article details the setup and basic API for LLM evaluations, providing a structured introduction to evaluation methods.",beginner,text,lines 1-5,examples/LLM_evals.mdx
examples of reference-free evaluation methods,The document lists various reference-free evaluation techniques such as text statistics and session-level evaluators along with accompanying code examples.,intermediate,code,lines 5-5,examples/LLM_evals.mdx
LLM judge tutorial example,The article provides a detailed tutorial on creating and evaluating an LLM judge using Python code examples.,beginner,code,lines 1-4,examples/LLM_judge.mdx
Steps to create evaluation dataset for LLM,"It outlines the steps needed to create a toy Q&A dataset for testing the LLM judge, including defining questions and target responses.",beginner,code,lines 25-27,examples/LLM_judge.mdx
How to configure LLM judge prompt,"The article describes how to configure the LLM judge's prompt, focusing on criteria for correctness evaluation.",intermediate,code,lines 231-246,examples/LLM_judge.mdx
Using OpenAI API for LLM,Instructions are provided to set up and use the OpenAI API key for embedding in the LLM evaluator within the Python code.,beginner,code,lines 67-71,examples/LLM_judge.mdx
Evaluate LLM judge accuracy,It explains how to compare LLM judge evaluations against manual labels to assess correctness and accuracy of responses.,intermediate,code,lines 227-268,examples/LLM_judge.mdx
Difference between reference-based and open-ended LLM evaluation,"The article distinguishes between two evaluation methods: reference-based and open-ended, tailored for different use cases.",beginner,text,lines 10-13,examples/LLM_judge.mdx
How to preview dataset in Python,It gives code examples on how to preview the created dataset in Python to review the data structure and contents.,beginner,code,lines 200-203,examples/LLM_judge.mdx
Adding descriptors to the evaluation dataset,The article demonstrates how to enhance the dataset by adding descriptors to evaluate the quality of responses.,intermediate,code,lines 268-267,examples/LLM_judge.mdx
Setting up binary classification for LLM,Instructions are provided on how to set up a binary classification system to judge the quality of responses from the LLM.,intermediate,code,lines 314-317,examples/LLM_judge.mdx
Generating report for LLM evaluations,It describes how to create a report summarizing the results of LLM evaluations and interpret key metrics.,intermediate,code,lines 288-298,examples/LLM_judge.mdx
What makes a good LLM judge prompt,"The article discusses factors that contribute to an effective prompt for LLM judging, such as specificity and clarity.",intermediate,text,lines 253-253,examples/LLM_judge.mdx
Creating a verbosity evaluator for responses,It outlines how to create a verbosity evaluator in LLM that assesses the conciseness and clarity of generated outputs.,intermediate,code,lines 346-375,examples/LLM_judge.mdx
Advantages of using LLM as a judge,The article highlights the flexibility and customization options available when using LLM as a judgment tool in evaluation workflows.,beginner,text,lines 400-400,examples/LLM_judge.mdx
Sample code for LLM evaluation,"Full code snippets are provided for evaluating LLM responses, which can be directly used in Python.",beginner,code,lines 46-62,examples/LLM_judge.mdx
Setting environment variables for LLM,It instructs users on how to specify their OpenAI API key as an environment variable for lLM integration.,beginner,code,lines 67-71,examples/LLM_judge.mdx
Run a sample LLM notebook,The article references how to run example notebooks for practical understanding and step-by-step learning.,beginner,code,lines 38-39,examples/LLM_judge.mdx
Explore results from Evidently Cloud,It provides steps for integrating evaluation workflows with Evidently Cloud for data exploration and management.,intermediate,code,lines 402-426,examples/LLM_judge.mdx
Define custom criteria for LLM judging,It explains how to set custom evaluation criteria that gives flexibility in how the LLM judges outputs.,intermediate,text,lines 354-358,examples/LLM_judge.mdx
Integration options for different evaluator LLMs,The article discusses options to choose different LLMs for evaluating responses based on specific evaluation needs.,advanced,text,lines 74-74,examples/LLM_judge.mdx
Confusion matrix evaluation in LLM judging,It explains how to evaluate the performance of the LLM judge using a confusion matrix for classification errors.,advanced,code,lines 342-342,examples/LLM_judge.mdx
using multiple LLMs for evaluation,"This approach involves utilizing several LLMs to aggregate their evaluations, considering an output as a 'pass' only if the majority approves.",beginner,text,lines 1-1,examples/LLM_jury.mdx
how to install Evidently for LLM evaluations,Install the Evidently package using pip to get started with the setup for evaluating language model outputs.,beginner,code,lines 9-13,examples/LLM_jury.mdx
define evaluation criteria with LLM,Use the `BinaryClassificationPromptTemplate` for setting appropriate judging criteria for the emails generated by the model.,intermediate,code,lines 94-114,examples/LLM_jury.mdx
set up API keys for LLM judges,Pass your API keys for different LLM providers in your environment setup to allow for evaluation by multiple judges.,beginner,code,lines 36-42,examples/LLM_jury.mdx
viewing the results of LLM evaluations,You can export evaluation results to a DataFrame or generate summary reports to inspect the judgments made by the LLMs.,intermediate,code,lines 175-199,examples/LLM_jury.mdx
create a project for LLM evaluation in Evidently,"To store your evaluation results, you can create a project within the Evidently Cloud workspace using specific parameters.",beginner,code,lines 55-61,examples/LLM_jury.mdx
evaluate email tone appropriateness with LLM,The process measures the appropriateness of email output by setting up evaluators with specific criteria for judging tone and content.,intermediate,text,lines 96-108,examples/LLM_jury.mdx
custom descriptor for LLM disagreements,A custom function can be defined to identify and flag disagreements among the LLM judges based on their evaluation outcomes.,advanced,code,lines 156-170,examples/LLM_jury.mdx
exporting evaluation results to Evidently Cloud,"After evaluating, you can upload your results to the Evidently Cloud for easier access and display of metrics.",intermediate,code,lines 191-195,examples/LLM_jury.mdx
evaluate RAG system metrics,"The article guides users through evaluating various metrics for RAG systems, focusing on both retrieval and generation quality.",beginner,text,line 4,examples/LLM_rag_evals.mdx
installation steps for Evidently,"Clear instructions are provided for installing the Evidently library necessary for RAG evaluations, including a simple command for installation.",beginner,code,lines 28-32,examples/LLM_rag_evals.mdx
data evaluation with Pandas,The article demonstrates how to use Pandas to manage and evaluate data by transforming raw data into a structured format for analysis.,beginner,code,lines 86-87,examples/LLM_rag_evals.mdx
context quality assessment methods,"Different methods for assessing the quality of retrieved contexts are explained, including the ContextQualityLLMEval and ContextRelevance metrics.",intermediate,text,lines 96-138,examples/LLM_rag_evals.mdx
generate synthetic datasets for evaluation,"It shows how to create synthetic datasets for testing retrieval and generation functionalities, suitable for evaluating RAG system performance.",beginner,code,lines 64-84,examples/LLM_rag_evals.mdx
using ContextRelevance metrics,Guidelines are provided on using the ContextRelevance metric to evaluate the relevance of chunked data inputs against questions.,intermediate,code,lines 162-171,examples/LLM_rag_evals.mdx
how to run a correctness evaluation,"The article explains how to run correctness evaluations using LLM-based matching techniques, comparing responses to expected 'target' outputs.",intermediate,code,lines 201-230,examples/LLM_rag_evals.mdx
visual reports for RAG evaluations,"Instructions on creating visual reports with Evidently to summarize RAG evaluation results are extensively covered, helping to visualize data insights.",beginner,code,lines 274-305,examples/LLM_rag_evals.mdx
features of Evidently Cloud,"A summary of the Evidently Cloud features for systematic tracking and easy comparison of evaluation results is provided, emphasizing its utility.",beginner,text,lines 328-360,examples/LLM_rag_evals.mdx
numerical metrics for performance tracking,The article discusses leveraging numerical metrics derived from evaluations to track the performance of a RAG system over time.,intermediate,text,lines 311-324,examples/LLM_rag_evals.mdx
uploading evaluations to Cloud,Details are given on how to upload evaluation results to the Evidently Cloud for detailed analysis and ongoing monitoring.,intermediate,code,lines 352-358,examples/LLM_rag_evals.mdx
improving RAG response quality,"Strategies for enhancing RAG response quality are discussed, such as setting conditions for expected outcomes during evaluations.",advanced,text,lines 309-324,examples/LLM_rag_evals.mdx
setting up tests in reports,Learn how to set up specific tests within reports to ensure context validity and response fidelity during evaluations.,advanced,code,lines 310-320,examples/LLM_rag_evals.mdx
LLM regression testing tutorial,"This tutorial guides you on how to perform regression testing specifically for LLM outputs, detailing each step involved.",beginner,text,1-1,examples/LLM_regression_testing.mdx
compare old and new LLM responses,You can compare new and old responses to identify any significant changes after altering prompts or models.,beginner,text,3-3,examples/LLM_regression_testing.mdx
