question,summary_answer,difficulty,intent,filename
text data evaluation methods,"The article explains how to evaluate text data using Descriptors, which provide scores or labels for each row in the dataset, allowing for various evaluation methods based on both built-in and custom descriptors.",beginner,text,docs/library/descriptors.mdx
how to create custom descriptors,"You can create custom descriptors using LLM prompts or Python code, as described in the article, which guides on adding these to your datasets.",beginner,code,docs/library/descriptors.mdx
examples of built-in descriptors,"The article outlines several built-in descriptors, such as Sentiment and TextLength, which can be used directly for evaluating text data.",intermediate,text,docs/library/descriptors.mdx
Python code to evaluate text,"The article provides Python code snippets to create datasets, add descriptors, and evaluate text data using the Evidently library.",intermediate,code,docs/library/descriptors.mdx
how to generate toy data for testing,"A code snippet is provided for generating toy data to test the evaluation methods, demonstrating how to format data into a pandas DataFrame.",beginner,code,docs/library/descriptors.mdx
Testing conditions on descriptors,"The article describes how to apply testing conditions for descriptors, allowing you to set pass/fail criteria for evaluation results directly within the descriptor settings.",intermediate,code,docs/library/descriptors.mdx
LLM judging in descriptor evaluation,"It explains how to use built-in LLM judges as descriptors, which require API keys for evaluation, adding a layer of functionality for text evaluation.",advanced,code,docs/library/descriptors.mdx
How to export results,"You can export results and visualize them by converting the evaluation dataset into a DataFrame or other output formats like HTML or JSON, as detailed in the article.",intermediate,code,docs/library/descriptors.mdx
integrating multiple descriptors,The article covers how to combine multiple descriptors in your dataset evaluation to enrich the evaluation metrics and insights obtained from the data.,intermediate,text,docs/library/descriptors.mdx
descriptor tests summary,"It explains how to use TestSummary to combine results from multiple tests into a single summary for each row, providing more digestible results.",advanced,code,docs/library/descriptors.mdx
pass/fail checks for text data,"The article discusses how to implement pass/fail checks in your evaluations, allowing for more stringent analysis of text quality based on defined criteria.",beginner,code,docs/library/descriptors.mdx
comparison between datasets for drift detection,"It outlines how to run comparisons between datasets, which is crucial for detecting drift in text evaluations, using the Report functionality within the Evidently library.",advanced,code,docs/library/descriptors.mdx
Evidently evaluation workflow steps,"The article outlines the main steps in the Evidently evaluation workflow, including data preparation, dataset creation, and report configuration.",beginner,text,docs/library/evaluations_overview.mdx
How to create a Dataset object in Evidently,"To create a Dataset object in Evidently, you can use `DataDefinition()` with the `Dataset.from_pandas()` method to specify column roles and types.",intermediate,code,docs/library/evaluations_overview.mdx
Configuring Reports in Evidently,Configuring Reports in Evidently involves creating a Report with specified metrics and presets to evaluate datasets and summarize results.,advanced,code,docs/library/evaluations_overview.mdx
generate multiple metrics with Evidently,"The article details using metric generator helper functions from the Evidently library to generate multiple metrics at once, simplifying the testing process across dataset columns.",beginner,code,docs/library/metric_generator.mdx
using ColumnMetricGenerator for metrics,"It describes how to utilize the ColumnMetricGenerator class to apply specific metrics, like ValueDrift or UniqueValueCount, to designated columns in a dataset, including code snippets for practical implementation.",intermediate,code,docs/library/metric_generator.mdx
export evaluation results Python,"The article details how to export evaluation results in different formats including HTML and JSON, with code examples provided for saving reports.",beginner,code,docs/library/output_formats.mdx
evidently library overview,"The article explains the core concepts and components of the Evidently Python library, emphasizing its role in evaluating and monitoring AI systems.",beginner,text,docs/library/overview.mdx
how to evaluate AI models using evidently,Evidently allows you to evaluate AI models with over 100 built-in metrics and customizable templates for tailored assessments.,beginner,code,docs/library/overview.mdx
data quality checks with evidently,"The library provides various built-in tests for data quality, including checks for missing values, duplicates, and statistical distributions.",beginner,code,docs/library/overview.mdx
generate visual reports evidently,"You can export evaluation results as visual reports in formats like JSON, DataFrame, or HTML for better insights.",beginner,code,docs/library/overview.mdx
AI/ML evaluation metrics evidently,"Evidently offers a comprehensive set of metrics for different evaluation types, such as accuracy, precision, and regression metrics.",intermediate,text,docs/library/overview.mdx
synthetic data generation evidently,"Evidently features a configuration for generating structured synthetic data, particularly for testing AI systems.",intermediate,code,docs/library/overview.mdx
prompt optimization with evidently,"The library includes tools for optimizing prompts, enabling automated writing based on evaluation scoring and user feedback.",intermediate,code,docs/library/overview.mdx
using apparently for data drift detection,"Evidently offers metrics to detect and evaluate data drift, allowing users to compare datasets over time for distribution changes.",intermediate,code,docs/library/overview.mdx
how to structure datasets for evidently,The article outlines steps to prepare your data as a pandas DataFrame and convert it into an Evidently Dataset object for evaluations.,beginner,code,docs/library/overview.mdx
descriptor examples in evidently,"Descriptors in the Evidently library allow you to evaluate specific qualities of text data, such as length or sentiment analysis.",intermediate,code,docs/library/overview.mdx
reports in evidently library,You can generate detailed reports that analyze datasets across various metrics and include visual representations of the results.,intermediate,code,docs/library/overview.mdx
tests and test suites evidently,"The library includes features to create tests that validate results against established conditions, useful for automated checks.",intermediate,code,docs/library/overview.mdx
how to integrate evidently into workflows,"Evidently can be integrated into existing data pipelines, allowing for real-time evaluation and monitoring of AI systems.",beginner,text,docs/library/overview.mdx
visualization UI in evidently,"Evidently provides a lightweight UI to visualize and store evaluation results over time, enhancing data management.",beginner,code,docs/library/overview.mdx
using evidently for classification tasks,"The library supports classification model evaluations, providing metrics like ROC AUC and confusion matrices for analysis.",intermediate,code,docs/library/overview.mdx
importance of data preparation evidently,Preparing data accurately is crucial for running evaluations; the article highlights how to set up your data correctly for Effective assessments.,beginner,text,docs/library/overview.mdx
linking datasets in evidently,"Evidently allows for datasets to be linked in evaluations, facilitating side-by-side comparisons and drift detection.",intermediate,code,docs/library/overview.mdx
test presets in evidently,"There are pre-configured test presets available in Evidently, designed to streamline the testing process for various evaluations.",advanced,code,docs/library/overview.mdx
metrics presets in evidently,Evidently offers metric presets to help compute multiple related metrics with a single line of code for various evaluation scenarios.,advanced,code,docs/library/overview.mdx
self-hosting evidently platform,The article discusses how users can self-host the Evidently platform or use the cloud version for more advanced features.,intermediate,text,docs/library/overview.mdx
evidently library comparison with other tools,The article may cover the advantages of Evidently compared to other monitoring tools in AI evaluation processes.,advanced,text,docs/library/overview.mdx
advanced evaluation techniques evidently,"Evidently allows for advanced evaluation techniques, such as utilizing test suites for specific conditions durable across AI model updates.",advanced,text,docs/library/overview.mdx
how to create report with Evidently,The article explains how to generate a report using the Evidently library by importing necessary metrics and presets and passing them to the Report class.,beginner,code,docs/library/report.mdx
Evidently report templates,"The document discusses the use of pre-built report templates known as presets, which users can apply to generate reports easily without extensive configuration.",beginner,text,docs/library/report.mdx
comparing multiple evaluation results in Evidently,"You can compare multiple snapshots of evaluations side-by-side using the compare function, allowing for a quick analysis of the results.",intermediate,code,docs/library/report.mdx
limit columns in Evidently report,"To limit the columns on which a preset is applied in a report, you can specify the desired columns when creating the Report instance, enhancing focus on specific data.",intermediate,code,docs/library/report.mdx
adding tags to reports in Evidently,"The article details how to add tags to reports in Evidently, allowing users to mark evaluation runs by various criteria such as model version or status for better search and filtering.",beginner,code,docs/library/tags_metadata.mdx
custom metadata in Evidently,"It explains how to pass custom metadata as a Python dictionary when creating reports, enabling users to associate key:value pairs with their evaluation runs for improved context.",intermediate,code,docs/library/tags_metadata.mdx
conditional checks in data validation,"The article explains how to run conditional checks using Tests to validate specific conditions in datasets, ensuring data quality and adherence to expected metrics.",beginner,text,docs/library/tests.mdx
how to import evidently for tests,"To use Tests from the Evidently library, import the necessary modules including Report and Metrics as shown in the examples provided.",beginner,code,docs/library/tests.mdx
using test presets in evidently,You can leverage Test Presets to automatically run a set of predefined Tests on your data by enabling the `include_tests=True` option in the Report.,beginner,code,docs/library/tests.mdx
custom test conditions example,"The article illustrates how to set custom pass/fail conditions for Tests, allowing specific validation criteria for different metrics in your report.",intermediate,code,docs/library/tests.mdx
metrics reference for test conditions,"For details on available metrics and their test conditions, refer to the All Metrics reference table linked in the document.",intermediate,text,docs/library/tests.mdx
how to exclude tests in evidently,You can exclude certain Tests from being generated in a Report by setting the `tests` parameter to an empty list for specific Metrics as demonstrated in the examples.,intermediate,code,docs/library/tests.mdx
manage alert fatigue with test criticality,The article describes how to set the criticality of Tests to manage alert fatigue by allowing failed Tests to return a Warning instead of an outright Fail when desired.,advanced,code,docs/library/tests.mdx
testing against a reference dataset,"When validating data, you can set Test conditions relative to a reference dataset, allowing for dynamic comparisons using various thresholds.",advanced,code,docs/library/tests.mdx
multiple conditions in tests,"You can combine multiple conditions for a single Metric in Reports to perform thorough validations, as shown in the section on testing count vs. share.",advanced,code,docs/library/tests.mdx
set up alerts in Evidently Cloud,The article outlines the steps to enable alerts in Evidently Cloud by selecting a notification channel and defining alert conditions for failed tests or custom metrics.,beginner,code,docs/platform/alerts.mdx
add dashboard panel python example,"The article provides code examples for adding different types of dashboard panels using the Python API, including text, counters, and plots.",beginner,code,docs/platform/dashboard_add_panels.mdx
how to delete dashboard panel,Instructions for deleting specific panels and tabs from the dashboard using Python API commands are outlined in the article.,beginner,code,docs/platform/dashboard_add_panels.mdx
create new tab in dashboard python,"You can create a new tab in the dashboard using `project.dashboard.add_tab(""New Tab"")` as described in the article.",beginner,code,docs/platform/dashboard_add_panels.mdx
evidently dashboard panel types,"The article explains different types of dashboard panels such as text panels, counters, and plots, along with their usage and examples.",intermediate,text,docs/platform/dashboard_add_panels.mdx
example of counter panel in dashboard,"Code snippets are provided for adding counter panels displaying values with optional text, demonstrated using the `RowCount` metric.",intermediate,code,docs/platform/dashboard_add_panels.mdx
modify panel visualizations in dashboard,"The article describes how to adjust visualizations for panels, including selecting plot types like line, bar, and pie charts based on the data availability.",intermediate,text,docs/platform/dashboard_add_panels.mdx
dashboard.clear_dashboard() usage,The article explains how to use `project.dashboard.clear_dashboard()` to delete all tabs and panels from the dashboard without affecting the underlying data.,intermediate,code,docs/platform/dashboard_add_panels.mdx
evidently sdk dashboard metrics,"Different metric options available for dashboard panels are covered, emphasizing how to use `PanelMetric` to display values effectively.",intermediate,text,docs/platform/dashboard_add_panels.mdx
different aggregations for dashboard counters,"The article provides examples of adding count panels with different aggregation options like sum, average, and last values.",beginner,code,docs/platform/dashboard_add_panels.mdx
how to add pie chart in dashboard,Instructions for adding pie charts to the dashboard with various aggregation parameters are included in the article.,intermediate,code,docs/platform/dashboard_add_panels.mdx
dashboard panel parameters summary,"A summary table listing essential parameters for configuring dashboard panels, including `title`, `size`, and `values`, is presented in the article.",advanced,text,docs/platform/dashboard_add_panels.mdx
advanced usage of panel metrics,"The article discusses advanced configurations for `PanelMetric`, including handling multiple metrics and specific `metric_labels` for more precise data representation.",advanced,code,docs/platform/dashboard_add_panels.mdx
connect to Evidently Cloud for dashboard,"Before adding panels, users must connect to Evidently Cloud and create a project, as outlined in the preliminary tips of the article.",beginner,text,docs/platform/dashboard_add_panels.mdx
creating dashboard panels tutorial,The article provides a step-by-step guide on how to create and configure dashboard panels for visualizing evaluation results.,beginner,code,docs/platform/dashboard_add_panels_ui.mdx
how to add tabs in dashboard UI,"Instructions on adding tabs to organize panels on a dashboard are detailed, including options for custom tabs and available templates.",beginner,code,docs/platform/dashboard_add_panels_ui.mdx
edit delete dashboard panels,"The article explains how to enter edit mode to delete or edit existing dashboard panels, facilitating user customization.",intermediate,code,docs/platform/dashboard_add_panels_ui.mdx
dashboard panel configuration options,"Details on configuring different options for dashboard panels, such as filtering metrics and setting panel types, are outlined in the article.",advanced,text,docs/platform/dashboard_add_panels_ui.mdx
how to create a panel in Evidently dashboard,"The article explains that you can create a Panel in the Dashboard using either the Python API or the UI, where you define parameters like title, type, and metric values to display.",beginner,code,docs/platform/dashboard_overview.mdx
what is the purpose of a dashboard in Evidently,"A Dashboard in Evidently serves to provide insights into AI application performance by tracking evaluation results and live production quality over time, ultimately helping to visualize important metrics.",beginner,text,docs/platform/dashboard_overview.mdx
what is a dataset in evidently,"The article defines a dataset as a collection of data used for analysis and automated checks, which can be created from various sources like existing data, live data, or synthetic data.",beginner,text,docs/platform/datasets_overview.mdx
how to upload datasets in evidently,"You can upload datasets in Evidently by directly using the UI with CSV files, attaching them to reports during evaluations, generating synthetic data, or creating them from traces.",intermediate,code,docs/platform/datasets_overview.mdx
upload dataset to Evidently Python example,"The article explains how to prepare and upload a dataset to Evidently using the `add_dataset` method in Python, highlighting the need for a specified dataset name and optional description.",beginner,code,docs/platform/datasets_workflow.mdx
data definition role in dataset uploads,"It details the importance of a data definition when uploading datasets to Evidently, helping the platform understand specific column roles for future evaluations.",intermediate,text,docs/platform/datasets_workflow.mdx
api evals example code,"The article provides example code for running evaluations using the Evidently library, detailing how to set up the report and log results to the platform.",beginner,code,docs/platform/evals_api.mdx
workflow for running evals Evidently,"It outlines the complete workflow for running evaluations, including configuring reports, uploading results, and exploring the outcomes within the Evidently platform.",intermediate,text,docs/platform/evals_api.mdx
browse evaluation results project reports,"The article details how to navigate to the Reports section of your project to view and manage evaluation results, including options for sorting and downloading data.",beginner,code,docs/platform/evals_explore.mdx
no-code data evaluation steps,"The article outlines the steps for evaluating data in a no-code interface, starting from preparing the dataset to running the evaluation and interpreting the results.",beginner,text,docs/platform/evals_no_code.mdx
how to add descriptors in no-code evals,"It explains how to add descriptors for data evaluation through a simple interface, allowing users to select methods like sentiment analysis or regular expressions.",beginner,code,docs/platform/evals_no_code.mdx
configuring custom LLM evaluator,"The article provides a detailed description on configuring a custom LLM evaluator, explaining the parameters needed for effective text evaluations using language models.",intermediate,code,docs/platform/evals_no_code.mdx
differences between evaluation methods in no-code,"It describes various evaluation methods available in the no-code interface, such as model-based, regex, and LLM-based evaluations, along with their specific configurations.",intermediate,text,docs/platform/evals_no_code.mdx
running evaluations in Evidently platform,"The article describes how to run evaluations using the Evidently platform, covering both code-based and no-code methods for analyzing AI outputs and data.",beginner,text,docs/platform/evals_overview.mdx
code for Python evaluations Evidently,The article outlines how to perform Python-based evaluations on AI outputs through the Evidently platform by generating reports and uploading results.,intermediate,code,docs/platform/evals_overview.mdx
batch monitoring example Python,"The article provides a simple code example for batch monitoring using the Evidently library, demonstrating how to get dataset stats and upload to the workspace.",beginner,code,docs/platform/monitoring_local_batch.mdx
Evidently batch workflow steps,"It outlines the complete workflow for batch monitoring, including configuring metrics, running evaluations, uploading results, setting up dashboards, and configuring alerts.",intermediate,text,docs/platform/monitoring_local_batch.mdx
AI observability definition,"The article explains AI observability as the ability to evaluate the quality of inputs and outputs of AI applications in production, allowing for real-time monitoring and issue detection.",beginner,text,docs/platform/monitoring_overview.mdx
Evidently batch monitoring setup,"It describes how to set up batch monitoring jobs with Evidently, including creating an evaluation pipeline, running metric calculations, and visualizing the results on a dashboard.",intermediate,code,docs/platform/monitoring_overview.mdx
Benefits of scheduled evaluations in AI,"The article lists the benefits of using scheduled evaluations in AI, such as improved data capture and the ability to easily re-run evaluations, making it ideal for LLM-powered applications.",advanced,text,docs/platform/monitoring_overview.mdx
Evidently Platform features overview,"The article details key features of the Evidently Platform, including evaluation tracking, dataset management, and synthetic data generation, aimed at enhancing AI quality across the lifecycle.",beginner,text,docs/platform/overview.mdx
Evidently Python library examples,"The article mentions that the Evidently Python library can be used for running local evaluations and uploading datasets, providing a foundation for programmatic access to the platform.",intermediate,code,docs/platform/overview.mdx
create project in Evidently example,"The article provides code snippets for creating a project in both a Python script and through the UI, detailing the required parameters and methods.",beginner,code,docs/platform/projects_manage.mdx
how to connect to an existing project Python,"To connect to an existing project in Evidently using Python, you can use the `get_project` method with the project's ID, as shown in the article.",intermediate,code,docs/platform/projects_manage.mdx
edit project description UI,"You can edit a project's description in the UI by hovering over the project and clicking on the 'edit' option, as explained in the article.",beginner,text,docs/platform/projects_manage.mdx
monitoring project parameters details,"The article details the parameters of a project including name, ID, description, and monitoring dashboard, providing examples and use cases for each.",advanced,text,docs/platform/projects_manage.mdx
how to organize projects in Evidently,"The article explains how to structure Projects in Evidently by use case, application, test scenario, and phase, providing best practices for managing data and evaluations effectively.",beginner,text,docs/platform/projects_overview.mdx
LLM tracing definition,"The article defines LLM tracing as a feature that enables you to instrument AI applications to collect data for evaluation, detailing inputs, outputs, and intermediate events like function calls.",beginner,text,docs/platform/tracing_overview.mdx
install tracely library,This article explains how to install the `tracely` package from PyPi using a simple pip command.,beginner,code,docs/platform/tracing_setup.mdx
init_tracing function arguments,"The article outlines the parameters required for the `init_tracing` function, including address, api_key, and project_id.",intermediate,text,docs/platform/tracing_setup.mdx
trace_event decorator usage,"You can use the `@trace_event` decorator to collect traces for specific functions, and the article provides examples of different ways to log function arguments.",beginner,code,docs/platform/tracing_setup.mdx
set attributes in trace events,The article discusses how to set custom attributes for events using the `set_attribute` method in the current span context.,intermediate,code,docs/platform/tracing_setup.mdx
create_trace_event context manager,"You'll learn how to use the `create_trace_event` context manager for tracing specific code sections without decorators, along with its parameters.",intermediate,code,docs/platform/tracing_setup.mdx
use environment variables with tracely,The article explains how to set parameters for tracing using environment variables instead of directly in the code.,beginner,code,docs/platform/tracing_setup.mdx
nested spans for multi-step workflows,"You can nest `@trace_event` calls to trace multi-step workflows, as illustrated in the examples within the article.",intermediate,code,docs/platform/tracing_setup.mdx
pass session_id for trace events,This article mentions how to use a shared `session_id` to link trace events from different functions or threads.,advanced,text,docs/platform/tracing_setup.mdx
trace structure in LLM workflows,"The article shows how different parts of a tracing workflow can be represented hierarchically, allowing for clearer trace structures.",advanced,text,docs/platform/tracing_setup.mdx
handle multiple datasets in tracely,"You can adjust the `as_global` parameter in the `init_tracing` function to manage multiple datasets in your tracing context, detailed in the documentation.",intermediate,text,docs/platform/tracing_setup.mdx
Evidently Cloud account setup guide,"This article explains the process of creating a free Evidently Cloud account, setting up an organization, and connecting to it using the Evidently Python library.",beginner,text,docs/setup/cloud.mdx
self-host Evidently UI setup,"The article provides step-by-step instructions on setting up the Evidently UI service for self-hosting, including creating a workspace and launching the UI.",beginner,code,docs/setup/self-hosting.mdx
create workspace for Evidently UI,"Instructions for creating a workspace in Evidently are included, specifying how to designate a local or remote directory for storing evaluation results.",beginner,code,docs/setup/self-hosting.mdx
Evidently UI local vs remote workspace,"The article explains the differences between local and remote workspaces, detailing how to run the UI service and where to store data in each scenario.",intermediate,text,docs/setup/self-hosting.mdx
launch Evidently UI service example,It offers code examples on how to launch the Evidently UI service using different options based on your workspace configuration.,beginner,code,docs/setup/self-hosting.mdx
delete workspace command Evidently,"The article provides a command to delete a workspace but warns that it will erase all associated data, emphasizing the importance of backing up reports before deletion.",intermediate,code,docs/setup/self-hosting.mdx
CI/CD LLM testing with Evidently and GitHub Actions,"The article explains how to use Evidently in conjunction with GitHub Actions to automate the testing of LLM outputs during code pushes or pull requests, ensuring any issues are caught early in the development process.",beginner,code,examples/GitHub_actions.mdx
LLM evaluation methods overview,"The article provides a comprehensive overview of different methods for evaluating LLMs, detailing both reference-based and reference-free approaches.",beginner,text,examples/LLM_evals.mdx
code example for LLM evaluation,"The article includes a code example that demonstrates setting up and running different LLM evaluation methods, which can be found in the provided Open Notebook link.",intermediate,code,examples/LLM_evals.mdx
how to create an LLM judge,"The article provides a step-by-step tutorial on creating an LLM judge using Python, focusing on setting up prompts for evaluating responses against reference answers and custom criteria.",beginner,code,examples/LLM_judge.mdx
evaluate responses with LLM,The article discusses methods to use an LLM for evaluating text responses either through reference comparison or custom criteria evaluation.,beginner,text,examples/LLM_judge.mdx
reference-based evaluation LLM,It explains how to compare new responses against a reference for regression testing using an LLM judge for better accuracy.,intermediate,text,examples/LLM_judge.mdx
how to set up LLM evaluator,"The process of defining the prompt and criteria for the LLM evaluator is detailed, including coding examples to implement it effectively in Python.",intermediate,code,examples/LLM_judge.mdx
using LLM with Python,The tutorial highlights the installation of the Evidently library and demonstrates how to interact with LLM via code examples.,beginner,code,examples/LLM_judge.mdx
conditional formatting LLM responses,"The article covers how to implement conditionals in an LLM judge to differentiate between correct and incorrect evaluations, enhancing accuracy.",intermediate,code,examples/LLM_judge.mdx
Evidently Platform integration,It describes how to upload the results to Evidently Cloud for better management and visualization of evaluation reports.,beginner,code,examples/LLM_judge.mdx
create evaluation dataset LLM,"The tutorial shows how to create a toy Q&A dataset to use for evaluating responses with the LLM judge, including coding examples.",beginner,code,examples/LLM_judge.mdx
next steps after LLM evaluation,The article suggests further integrating the LLM judge into broader evaluation workflows and tracking results using Evidently Cloud.,intermediate,text,examples/LLM_judge.mdx
correctness evaluator prompt,"Instructions on crafting the binary classification prompt for the correctness evaluator are provided, along with essential coding examples.",intermediate,code,examples/LLM_judge.mdx
LLM judge capabilities,The article reviews how an LLM judge can be customized to assess not only correctness but also response verbosity and other aspects of text evaluation.,intermediate,text,examples/LLM_judge.mdx
create and run an LLM judge,"It includes comprehensive steps on how to set up and execute an LLM judging process, aimed primarily at beginners eager to implement AI evaluation.",beginner,code,examples/LLM_judge.mdx
evaluate text accuracy with LLM,"The tutorial explains using LLM to score text accuracy against predefined criteria, focusing on the importance of manual labels.",intermediate,text,examples/LLM_judge.mdx
verbosity evaluator template,Details about constructing a prompt for evaluating text conciseness and its implementation in code are provided in the article.,intermediate,code,examples/LLM_judge.mdx
report generation with LLM,"Steps to generate a report summarizing evaluation results from the LLM judgments are included, allowing users to visualize performance metrics.",intermediate,code,examples/LLM_judge.mdx
manual labels in LLM evaluation,The article emphasizes the importance of using manual labels for reference to ensure effective evaluation by the LLM judge.,beginner,text,examples/LLM_judge.mdx
running LLM evaluations in Jupyter Notebook,It suggests using Jupyter Notebook or Google Colab for running the LLM evaluations to utilize rich visual outputs from the analysis.,beginner,code,examples/LLM_judge.mdx
best practices for LLM prompt crafting,"The article offers guidance on how to effectively craft prompts that maximize the evaluative ability of the LLM, targeting both correctness and quality.",advanced,text,examples/LLM_judge.mdx
LLM evaluation metrics insights,"It discusses various evaluation metrics such as precision and recall used to assess the performance of the LLM judge, aiding in fine-tuning.",advanced,text,examples/LLM_judge.mdx
examples of incorrect LLM responses,The article provides examples of how the LLM judge identifies incorrect responses versus correct ones based on the evaluation criteria defined.,intermediate,code,examples/LLM_judge.mdx
evaluate LLM outputs with multiple judges,"The article discusses how to use multiple LLMs to evaluate outputs, emphasizing the importance of consensus in determining if an output is a 'pass'.",beginner,text,examples/LLM_jury.mdx
setup multiple LLM judges for evaluation,"Instructions on setting up multiple LLMs as judges are provided, including API key configuration and evaluator setup.",beginner,code,examples/LLM_jury.mdx
Evidently installation for LLM evaluation,"To evaluate LLM outputs, the article outlines the installation process for the Evidently library using pip.",beginner,code,examples/LLM_jury.mdx
define evaluation prompt for LLMs,It describes how to use a BinaryClassificationPromptTemplate to create specific prompts for judging email appropriateness in evaluations.,intermediate,code,examples/LLM_jury.mdx
interpret LLM evaluation results,"The article explains how to interpret the results of evaluations, including methods to view and analyze the summary report from LLM judges after processing outputs.",intermediate,code,examples/LLM_jury.mdx
aggregate evaluation results from LLMs,"The approach encourages aggregating evaluation results for outputs, considering consensus among multiple LLMs for robust decisions.",beginner,text,examples/LLM_jury.mdx
custom descriptor for LLM disagreement detection,A method for creating a custom descriptor to flag and understand disagreements among LLMs in their evaluations is outlined for improved analysis.,advanced,code,examples/LLM_jury.mdx
run report on LLM evaluation metrics,"The article shows how to generate and run a report that summarizes overall evaluation metrics from multiple LLM judges, providing insights into outputs.",intermediate,code,examples/LLM_jury.mdx
examples of generated emails for evaluation,The article provides toy examples of user inputs and generated email outputs to illustrate the evaluation process by LLM judges.,beginner,text,examples/LLM_jury.mdx
RAG system evaluation metrics,"The article discusses key metrics to evaluate retrieval and generation quality in RAG systems, using the Evidently library for assessment and reporting.",beginner,text,examples/LLM_rag_evals.mdx
using Evidently for RAG evaluation,Learn how to utilize the Evidently library to assess the performance of RAG systems through metrics for retrieval and generation quality.,beginner,code,examples/LLM_rag_evals.mdx
retrieval quality assessment in RAG,"The article provides methods to evaluate the quality of retrieved contexts, including relevance assessments for both single and multiple contexts in RAG systems.",intermediate,text,examples/LLM_rag_evals.mdx
installing Evidently library,Instructions on installing the Evidently library via pip are provided to facilitate the setup for RAG evaluation.,beginner,code,examples/LLM_rag_evals.mdx
evaluating generation quality with ground truth,The article explains how to evaluate generated responses against a ground truth dataset using LLM-based metrics and comparisons in RAG.,intermediate,code,examples/LLM_rag_evals.mdx
dataframe visualization for evaluation,It explains how to visualize evaluation results as a pandas dataframe for better understanding of retrieval and generation scores.,beginner,code,examples/LLM_rag_evals.mdx
ContextQualityLLMEval implementation,Instructions to implement the ContextQualityLLMEval descriptor in Python code to assess context quality during evaluations are covered.,intermediate,code,examples/LLM_rag_evals.mdx
creating synthetic dataset for evaluation,"A step-by-step guide on generating a synthetic dataset for testing retrieval and generation in RAG systems is included, using simple example data.",beginner,code,examples/LLM_rag_evals.mdx
using FaithfulnessLLMEval,The article describes how to use FaithfulnessLLMEval to assess the faithfulness of generated responses in a RAG system without ground truth.,intermediate,code,examples/LLM_rag_evals.mdx
upload evaluation results to Evidently Cloud,Instructions on how to upload your evaluation results to the Evidently Cloud for tracking and interaction are provided.,intermediate,code,examples/LLM_rag_evals.mdx
Mean Relevance score calculation,It includes methods for calculating average relevance scores for multiple retrieved contexts when evaluating RAG systems.,advanced,code,examples/LLM_rag_evals.mdx
LLM judge metrics customization,Guidance on customizing LLM judge metrics to tailor evaluation definitions according to specific needs in RAG performance assessments is discussed.,advanced,text,examples/LLM_rag_evals.mdx
generating evaluation reports,The article illustrates how to generate comprehensive evaluation reports to summarize RAG assessment results effectively.,beginner,code,examples/LLM_rag_evals.mdx
regression testing for LLM outputs,"The article outlines methods for conducting regression testing specifically for LLM outputs, allowing for comparison between old and new responses.",beginner,text,examples/LLM_regression_testing.mdx
create toy dataset for LLM testing,It includes steps to create a small Q&A dataset that serves as a reference for testing LLM outputs.,beginner,code,examples/LLM_regression_testing.mdx
compare new and old LLM responses,The tutorial explains how to compare old and new responses by re-running the same inputs with different parameters.,beginner,code,examples/LLM_regression_testing.mdx
Python code for LLM regression testing,"The article provides specific Python code examples for implementing regression testing, including dataset creation and evaluation metrics.",intermediate,code,examples/LLM_regression_testing.mdx
how to run tests on LLM outputs,It includes instructions for creating and running tests to evaluate the correctness and style of new LLM outputs.,intermediate,code,examples/LLM_regression_testing.mdx
