question,reference_answer,line_number_start,line_number_end,question_type,filename
What kind of evaluations can I run for text data?,"To evaluate text data and LLM outputs, you need `Descriptors`. A **Descriptor** is a row-level score or label that assesses a specific quality of a given text. It’s different from metrics that give a score for an entire dataset. You can use descriptors to assess LLM outputs in summarization, Q&A, chatbots, agents, RAGs, etc.",197,199,direct_inquirer,docs/library/overview.mdx
I cannot find the part where it talks about making a report with two datasets. Can you help?,"To generate reports like Data Drift that needs two datasets, pass the second one as a reference when you `run` it:  
```python
report = Report([
    DataDriftPreset()
])
my_eval = report.run(eval_data_1, eval_data_2)
```",53,65,frustrated_beginner,docs/library/report.mdx
"I don’t know how to add custom tags to my reports, where do I do that?","You can add `tags` and `metadata` to Reports to support search and ease of filtering. You can add tags to the Report by passing any custom Tags as a list: 

```python
report = Report([
    ClassificationPreset()
],
tags=[""classification"", ""production""])
```",20,36,frustrated_beginner,docs/library/tags_metadata.mdx
Why can't I get my tests to pass? I thought I set everything up right.,"By default, failed Tests return Fail. To get a Warning instead, set `is_critical=False`: This helps manage alert fatigue and prioritize Tests. If you set alerts on failed Tests, the ""Warning"" result won't trigger an alert. Warnings are labeled yellow.",222,230,frustrated_beginner,docs/library/tests.mdx
"I’m trying to set alerts for my project, but where do I go to do that?","To enable alerts, open the Project and navigate to the ""Alerts"" in the left menu. You must set a notification channel and an alert condition.",7,11,frustrated_beginner,docs/platform/alerts.mdx
"I can't find how to add a panel, is there a specific button or something?",You can add Panels in the user interface or using Python API. This pages describes the Python API.,1,1,frustrated_beginner,docs/platform/dashboard_add_panels.mdx
dashboard add tab python,"To add a new Tab:
```python
project.dashboard.add_tab(""Another Tab"")
```",13,17,hurried_developer,docs/platform/dashboard_add_panels.mdx
"So, how do I delete a tab in the dashboard?","To delete a Tab:
```python
project.dashboard.delete_tab(""Another Tab"")
```",21,25,context_assumer,docs/platform/dashboard_add_panels.mdx
Can I add panels for different metrics in one go?,You can add multiple Panels at once: they will appear in the listed order.,52,52,direct_inquirer,docs/platform/dashboard_add_panels.mdx
"I can't figure out how to add a new Tab to my Dashboard, what should I do?","To add a Tab, enter ""Edit"" mode on the Dashboard (top right corner). Click the plus sign with ""add Tab"" on the left. To create a custom Tab, select ""empty"" and enter a name.",11,15,frustrated_beginner,docs/platform/dashboard_add_panels_ui.mdx
add Tab in Dashboard,"To add a Tab, enter ""Edit"" mode on the Dashboard (top right corner). Click the plus sign with ""add Tab"" on the left. To create a custom Tab, select ""empty"" and enter a name.",11,15,hurried_developer,docs/platform/dashboard_add_panels_ui.mdx
What do I do if my Panels are empty after adding a Tab?,"Pre-built Tabs rely on having related Metrics (or Presets that include the specific Metrics) within the Project. If the necessary data is not available, the Panels will appear empty until you add Reports that contain those Metrics.",21,21,context_assumer,docs/platform/dashboard_add_panels_ui.mdx
Can I add different types of Panels to my Dashboard?,"You can add any number of Panels to your Dashboard, including text panels, counters, pie charts, line plots, and bar plots (grouped and stacked). When you create a Panel, you pull the corresponding value from multiple Reports and show it over time or using the specified aggregation (sum, average, last).",33,33,direct_inquirer,docs/platform/dashboard_add_panels_ui.mdx
"I don't see how to add panels to my dashboard, where's that option?","You can add Panels in two ways: 
- Using the Python API – define your Dashboard as code.
- Through the UI – add Panels directly from the interface (Cloud and Enterprise only).",32,34,frustrated_beginner,docs/platform/dashboard_overview.mdx
How do I add a Panel? I can’t find the button anywhere!,"Once you are inside the Project:

* Enter the ""Edit"" mode by clicking on the top right corner of the Dashboard.
* Click on the ""Add panel"" button.
* Follow the flow to configure dashboard name, type, etc.
* Preview and publish.",169,177,frustrated_beginner,docs/platform/dashboard_panel_types.mdx
"I can't find the button to upload a CSV file, how do I do that?",You can add Datasets to the platform in multiple ways: - **Upload directly**. Use the UI (Evidently Cloud) to upload CSV files or push datasets via the Python API.,13,15,frustrated_beginner,docs/platform/datasets_overview.mdx
"I can't figure out how to upload my CSV file, where is the button?","To upload any existing dataset as a CSV file, click on ""Add dataset"". When you upload the Dataset, you must also add a data definition. This lets Evidently understand the role of specific columns and prepare your Dataset for future evaluations.",26,27,frustrated_beginner,docs/platform/datasets_workflow.mdx
"I can't find where to upload my report, is it in this area?","When you upload a Report, you can decide to: * include only the resulting Metrics and a summary Report (with distribution summaries, etc.), or * also upload the raw Dataset you evaluated, together with added Descriptors if any. This helps with row-level debugging and analysis.",59,63,frustrated_beginner,docs/platform/evals_api.mdx
ws.add_run project id upload report options?,Use`include_data` (default `False`) to specify whether to include the data.,65,65,hurried_developer,docs/platform/evals_api.mdx
"I don't see where to find my evaluation results, can you help?","To access the results of your evaluations, enter your Project and navigate to the ""Reports"" section in the left menu. Here, you can view all your evaluation artifacts and browse them by Tags, time, or metadata. You can also download them as HTML or JSON.",3,3,frustrated_beginner,docs/platform/evals_explore.mdx
"I can't figure out how to upload my CSV file, where is the button?","Enter the ""Dataset"" menu, click on ""Create new dataset from CSV"". Drag and drop your Dataset. You must also specify the data definition when you upload it.",7,7,frustrated_beginner,docs/platform/evals_no_code.mdx
csv upload steps,"Before you start, create a Project and prepare the Dataset to evaluate. There are two options: - **Upload a CSV**. Enter the ""Dataset"" menu, click on ""Create new dataset from CSV"". Drag and drop your Dataset. You must also specify the data definition when you upload it.",5,8,hurried_developer,docs/platform/evals_no_code.mdx
How do I check the status of my evaluation after running it?,"You can check the status of the evaluation in the ""Tasks"" (use the left menu to navigate).",88,88,context_assumer,docs/platform/evals_no_code.mdx
Can I evaluate using built-in machine learning models?,"You must choose which column to evaluate and how. You can choose from the following methods: - **Model-based**: use built-in machine learning models, like sentiment analysis.",28,30,direct_inquirer,docs/platform/evals_no_code.mdx
"I can’t find where to upload my CSV files for evaluation, can you help me?","**How it works**:

* **Analyze CSV datasets**. Drag and drop CSV files and evaluate their contents on the Platform.",45,48,frustrated_beginner,docs/platform/evals_overview.mdx
"API for evaluations, how do I get started with that?","This is perfect for experiments, CI/CD workflows, or custom evaluation pipelines.",21,22,hurried_developer,docs/platform/evals_overview.mdx
"I want to upload my dataset results, but I can't find any instructions, how do I do it?",Choose to store raw inferences or only upload the metric summaries. [How to upload / delete results](/docs/platform/evals_api).,46,47,frustrated_beginner,docs/platform/monitoring_local_batch.mdx
"I can't find where to start setting up monitoring for my ML pipeline, where do I go?",Next step: check the [batch monitoring docs](/docs/platform/monitoring_local_batch).,31,31,frustrated_beginner,docs/platform/monitoring_overview.mdx
"batch monitoring, how do I run it?","**How it works**:

* **Build your evaluation pipeline**. Create a pipeline in your infrastructure to run monitoring jobs. This can be a Python script, cron job, or orchestrated with a tool like Airflow. Run it at regular intervals (e.g., hourly, daily) or trigger it when new data or labels arrive.

* **Run metric calculations**. Implement the evaluation step in the pipeline using the Evidently Python library. Select the evals, and compute the `Reports` that will summarize data, metrics, and test results.

* **Store and visualize the results**. Store the Report runs in Evidently Cloud or in a designated self-hosted workspace, and monitor results on a Dashboard.",15,21,hurried_developer,docs/platform/monitoring_overview.mdx
How can I automate evaluations with Evidently?,**Schedule evaluations**. Set up evaluations to run automatically at scheduled times. This will generate Reports or run Tests directly on the Evidently Platform. You can also manually run evaluations anytime to assess individual outputs.,49,49,direct_inquirer,docs/platform/monitoring_overview.mdx
"I can't find where to upload my datasets, can someone help?","You’ll often need programmatic access – for example, to upload datasets or run local experimental evaluations. In these cases, you can use the Evidently Python library to interact with the Evidently Cloud API.",43,43,frustrated_beginner,docs/platform/overview.mdx
"I can't find how to connect to my existing Project, where do I start?","To connect to an existing Project from Python, use the `get_project` method.",39,43,frustrated_beginner,docs/platform/projects_manage.mdx
ws.get_project usage,"To connect to an existing Project from Python, use the `get_project` method.

```python
project = ws.get_project(""PROJECT_ID"")
```",39,43,hurried_developer,docs/platform/projects_manage.mdx
How do I save changes to my project after editing?,"After making any changes to the Project (like editing description or adding monitoring Panels), always use the `save()` command:

```python
project.save()
```",49,53,direct_inquirer,docs/platform/projects_manage.mdx
"It says I should click the plus sign to create a project, but what do I name it?","To create a Project, click on the “plus” sign on the home page, set a Project name and description.",27,27,context_assumer,docs/platform/projects_manage.mdx
What can I store in a Project? I'm confused about the types of data.,"Each Project: * Stores its own **datasets**, **reports**, and **traces**. * Has a dedicated **dashboard** and **alerting** rules. * Provides a **unique ID** for connecting via the **Python API** to send data, edit dashboards, and manage configurations. You can also manage everything through the UI.",11,15,frustrated_beginner,docs/platform/projects_overview.mdx
How can I explore tracing data after I capture it?,"Evidently provides multiple ways to explore tracing data. You can use the Trace view to see a timeline of execution steps with input-output details and latency, the Dataset view to automatically generate a tabular view for easier evaluation or labeling, and the Dialogue view for conversational applications, where you can browse traces by user or session to focus on chat flows.",13,26,direct_inquirer,docs/platform/tracing_overview.mdx
"I can't find how to install the package, is there a command for that?",Install the `tracely` package from PyPi: ```bash uv add tracely ```,7,11,frustrated_beginner,docs/platform/tracing_setup.mdx
"tracely init, what do I need to run?","To start sending traces, use `init_tracing`: ```python from tracely import init_tracing init_tracing( address=""https://app.evidently.cloud/"", api_key=""YOUR_EVIDENTLY_TOKEN"", project_id=""YOUR_PROJECT_ID"", export_name=""YOUR_TRACING_DATASET_NAME"", ) ```",19,30,hurried_developer,docs/platform/tracing_setup.mdx
How can I send traces to Evidently Cloud?,You must first connect to [Evidently Cloud](/docs/setup/cloud) and [create a Project](/docs/platform/projects_manage).,15,17,context_assumer,docs/platform/tracing_setup.mdx
What parameters can I set in init_tracing?,"Parameters include: `address`, `api_key`, `export_name`, `project_id`, `exporter_type`, and `as_global`. See respective descriptions in the table under `init_tracing()` Function Arguments.",34,42,direct_inquirer,docs/platform/tracing_setup.mdx
"Okay, how do I get my API token?",Click the **Key** menu icon to open the [Token page](https://app.evidently.cloud/token). Generate and save token securely.,14,14,context_assumer,docs/setup/cloud.mdx
"I don't understand how to create a Workspace, can you help?","To create a Workspace, you need to designate a remote or local directory where you will store the evaluation results (JSON Reports called 'snapshots'), traces, or datasets. The UI Service will read the data from this source. As a storage backend, Evidently supports a file system, any SQL-like database (such as SQLite or Postgres), or S3-compatible storage (such as Amazon S3, GCS, or MinIO – through 'fsspec').",9,24,frustrated_beginner,docs/setup/self-hosting.mdx
"I'm trying to set up GitHub Actions with my LLM testing, how do I do that?","You can use Evidently together with GitHub Actions to automatically test the outputs of your LLM agent or application - as part of every code push or pull request. To integrate, you define a test dataset of inputs (e.g. test prompts with or without reference answers) and run your LLM system or agent against those inputs inside CI. Evidently automatically evaluates the outputs using the user-specified config, including methods like LLM judges and custom Python functions. If any test fails, the CI job fails, and you get a detailed test report with pass/fail status and metrics.",1,12,frustrated_beginner,examples/GitHub_actions.mdx
"I'm just trying to set up the LLM evaluation, but what does it mean by exact match and semantic similarity?","Part 2. Reference-based evaluation: exact match, semantic similarity, BERTScore, and LLM judge.",5,5,frustrated_beginner,examples/LLM_evals.mdx
How do I set up the LLM judge prompt? I’m lost on where to start.,"**Configure the evaluator prompt**. We'll use the LLMEval [Descriptor](/docs/library/descriptors) to create a custom binary evaluator. Here's how to define the prompt template for correctness:

```python
correctness = BinaryClassificationPromptTemplate(
        criteria = """"""An ANSWER is correct when it is the same as the REFERENCE in all facts and details, even if worded differently.
        The ANSWER is incorrect if it contradicts the REFERENCE, adds additional claims, omits or changes details.
        REFERENCE:
        =====
        {target_response}
        ====="""""",
        target_category=""incorrect"",
        non_target_category=""correct"",
        uncertainty=""unknown"",
        include_reasoning=True,
        pre_messages=[(""system"", ""You are an expert evaluator. You will be given an ANSWER and REFERENCE"")],
        )
```",227,246,frustrated_beginner,examples/LLM_judge.mdx
"I can't find where to import the LLMs I'm supposed to use, can you help?","Import the components you'll use:
```python
import pandas as pd
from evidently import Dataset
from evidently import DataDefinition
from evidently import Report
from evidently.presets import TextEvals
from evidently.tests import eq, is_in, not_in
from evidently.descriptors import LLMEval, TestSummary, ColumnTest
from evidently.llm.templates import BinaryClassificationPromptTemplate
from evidently.core.datasets import DatasetColumn
from evidently.descriptors import CustomColumnDescriptor

from evidently.ui.workspace import CloudWorkspace
```",17,32,frustrated_beginner,examples/LLM_jury.mdx
"I can't figure out how to generate a synthetic dataset, where do I start?","**Generate a synthetic dataset**. We create a simple dataset with questions, retrieved contexts, and generated responses.

```python
synthetic_data = [
    [""Why do flowers bloom in spring?"",
     ""Plants require extra care during cold months. You should keep them indoors."",
     ""because of the rising temperatures""],
    [""Why do we yawn when we see someone else yawn?"",
     ""Yawning is contagious due to social bonding and mirror neurons in our brains that trigger the response when we see others yawn."",
     ""because it's a glitch in the matrix""],
    [""How far is Saturn from Earth?"",
     ""The distance between Earth and Saturn varies, but on average, Saturn is about 1.4 billion kilometers (886 million miles) away from Earth."",
     ""about 1.4 billion kilometers""],
    [""Where do penguins live?"",
     ""Penguins primarily live in the Southern Hemisphere, with most species found in Antarctica, as well as on islands and coastlines of South America, Africa, Australia, and New Zealand."",
     ""mostly in Antarctica and southern regions""],
]
columns = [""Question"", ""Context"", ""Response""]
synthetic_df = pd.DataFrame(synthetic_data, columns=columns)
```",64,88,frustrated_beginner,examples/LLM_rag_evals.mdx
"I’m trying to compare old and new responses but I don’t know how to set that up, what do I need?","You can compare new and old responses after changing a prompt, model, or anything else in your system. By re-running the same inputs with new parameters, you can spot any significant changes. This helps you push updates with confidence or identify issues to fix.",3,4,frustrated_beginner,examples/LLM_regression_testing.mdx
evidently regression test new outputs,"Here's what we'll do: * **Create a toy dataset**. Build a small Q&A dataset with answers and reference responses. * **Get new answers**. Imitate generating new answers to the same question. * **Create and run a Report with Tests**. Compare the answers using LLM-as-a-judge to evaluate length, correctness and style consistency. * **Build a monitoring Dashboard**. Get plots to track the results of Tests over time.",11,19,hurried_developer,examples/LLM_regression_testing.mdx
"I saw that you can skip the upload, how do I just view the Reports locally?","You can also skip the upload and view Reports locally. For self-hosted, replace `CloudWorkspace` with `Workspace`.",6,7,context_assumer,examples/LLM_regression_testing.mdx
Can I install Evidently with just pip?,"```python
uv add evidently[llm] 
```",42,43,direct_inquirer,examples/LLM_regression_testing.mdx
"I can't find how to sign up for the LLM evaluation course, where is that link?",📥 [Sign up for the course](https://www.evidentlyai.com/llm-evaluation-course-practice),91,91,frustrated_beginner,examples/introduction.mdx
evaluate LLM outputs,Evaluate the quality of text outputs.,11,11,hurried_developer,examples/introduction.mdx
"It mentions I can create an LLM judge, how do I do that?",Tutorial on creating and tuning LLM judges aligned with human preferences.,99,99,context_assumer,examples/introduction.mdx
Can I really visualize data drift metrics with Grafana?,Visualize Evidently data drift evaluations on a Grafana dashboard. (Postgres as a database).,74,74,direct_inquirer,examples/introduction.mdx
"I don’t know how to switch back to Cloud v1, where do I go?","You can switch back to **Cloud v1** from your **Account Settings** if needed. However, we **highly recommend** using **Cloud v2** for the latest and most powerful features.",29,31,frustrated_beginner,faq/cloud_v2.mdx
"I can't see where to find the new Report object, can you help me?",Evidently 0.6 brought an updated core API with a new Report object. You can learn more in the blog link provided.,13,14,frustrated_beginner,faq/migration.mdx
Report object usage?,"To use the new API, import components from evidently.future. For example: from evidently.future import Report.",13,14,hurried_developer,faq/migration.mdx
"The old API is mentioned, how can I use it if I'm still on version 0.6?","During the transition period, both APIs co-existed in the library. For version between 0.6 and 0.6.7, you can choose either option: Use the new API importing it as from evidently.future or use the legacy API, as documented in the old docs.",14,14,context_assumer,faq/migration.mdx
Can I run a Report without creating a Dataset in 0.6?,"No, you need to explicitly create an Evidently Dataset object instead of just passing a dataframe when running a Report.",26,28,direct_inquirer,faq/migration.mdx
"I have this dataset, how do I map types and roles?","This new structure lets you cleanly map input columns based on their type (e.g., categorical, numerical, datetime, text) and role (e.g., target, prediction, timestamp). A column can have both a type and role.",28,28,frustrated_beginner,faq/migration.mdx
How to add Tests with Reports?,"You can still use auto-generated Test conditions based on your reference dataset or define your own expectations. Now, the Test Suite mode is an optional extension of a Report. If you choose to enable Tests, their results appear as a separate tab in the same HTML file.",109,120,hurried_developer,faq/migration.mdx
What's that about new descriptor computation?,Descriptor computation is split into two steps: 1. Compute Descriptors and 2. Aggregate results or run conditional checks. This allows you to reuse descriptor outputs for multiple tests or aggregations without recomputation.,42,68,direct_inquirer,faq/migration.mdx
I can't find how to get support for the open-source version. Can someone help me?,"We provide documentation and a Discord community forum, but as a small team, we can’t offer extensive support to open-source users. If you’re running Evidently OSS in production, you must be comfortable troubleshooting and resolving issues on your own. For more hands-on support, we recommend upgrading to Evidently Cloud / Enterprise.",68,69,frustrated_beginner,faq/oss_vs_cloud.mdx
support tiers commercial platform,"We offer varying tiers of support based on the selected Plan. In any scenario, you get direct access to the developers who built the Platform. We help resolve any issues and bugs and provide ongoing assistance on feature configuration and use. For the Enterprise Plan, we also offer onboarding and training sessions.",69,70,hurried_developer,faq/oss_vs_cloud.mdx
"So, what's the difference in features between OSS and Cloud/Enterprise versions?","Platform editions differ in features, level of support, and maintenance costs. All the core evaluation features are open-source. The OSS version of the Evidently Platform offers a lightweight deployment with a base feature set for storing and visualizing the evaluation results. The commercial version of the Platform includes additional functionality related to no-code evaluation, collaboration and no-code managed workflows. It also includes security features like role-based access control and comes with a scalable backend.",28,62,context_assumer,faq/oss_vs_cloud.mdx
Can I generate synthetic data with the open-source version?,"Yes, synthetic data generation is available in both the open-source and commercial editions of the Evidently Platform.",44,44,direct_inquirer,faq/oss_vs_cloud.mdx
How do I manage the Evidently OSS deployment?,"You’re responsible for deploying and managing the Platform within your environment, including backups, upgrades, and scaling. While the software is free, you need engineering resources for maintenance and cloud resources for storage and compute.",75,76,frustrated_beginner,faq/oss_vs_cloud.mdx
"Evidently Cloud is managed completely, right?","The Platform is fully managed by the Evidently team, so that you can focus on building your AI products without worrying about infrastructure. This includes automatic updates, security patches, and scalability, making it the most cost-effective option. The Platform is instantly available upon signup.",76,77,direct_inquirer,faq/oss_vs_cloud.mdx
"I don't see how to stop the telemetry, can you help me?","To disable telemetry, use the environment variable: `DO_NOT_TRACK`. Set it to any value, for instance: `export DO_NOT_TRACK=1`. After doing that and starting the service, you will see the message: `Anonymous usage reporting is disabled.` To enable telemetry back, unset the environment variable: `unset DO_NOT_TRACK`.",85,103,frustrated_beginner,faq/telemetry.mdx
telemetry disable command,"To disable telemetry, use the environment variable: `DO_NOT_TRACK`. Set it to any value, for instance: `export DO_NOT_TRACK=1`. After doing that and starting the service, you will see the message: `Anonymous usage reporting is disabled.`",85,97,hurried_developer,faq/telemetry.mdx
"Is telemetry on by default, or do I need to enable it?","By default, telemetry is enabled.",77,77,context_assumer,faq/telemetry.mdx
What kind of data is collected in telemetry?,"We only collect **anonymous** usage data. We DO NOT collect personal data. We only collect data about **environment** and **service** use. Our telemetry is intentionally limited in scope. We DO NOT collect any sensitive information or data about the datasets you process. We DO NOT have access to the dataset schema, parameters, variable names, or anything related to the contents of the data or your code. We collect the following types of data: **Environment data** - Basic information including `timestamp`, `user_id`, `os_name`, `os_version`, `python_version`, `tool_name`, `tool_version`, `source_ip`. **Service usage data** - Data about actions performed in the service to understand features being used, like `Startup`, `Index`, `List_projects`, `Get_project_info`, etc.",11,73,direct_inquirer,faq/telemetry.mdx
"I can’t find where to upload my data for evaluation, what’s the process?","When you run evals, choose to upload raw data or only evaluation results. It’s up to you.",19,19,frustrated_beginner,faq/why_evidently.mdx
upload raw data or eval results?,"When you run evals, choose to upload raw data or only evaluation results. It’s up to you.",19,19,hurried_developer,faq/why_evidently.mdx
"It says I can add monitoring as I move to production, but how do I do that?",Add monitoring as you are ready to move to production workflows.,21,21,context_assumer,faq/why_evidently.mdx
Does Evidently have options for synthetic data generation?,"Evidently Cloud also provides advanced testing features, including synthetic data generation and adversarial testing, allowing you to easily create and run test scenarios.",33,33,direct_inquirer,faq/why_evidently.mdx
I want to evaluate LM outputs but I can't find where to start. What do I need to do?,Run your first evaluation in a couple of minutes. Evaluate the quality of LLM system outputs by following the quickstart guide for LLM evaluation.,10,14,frustrated_beginner,introduction.mdx
"I'm trying to make sure my JSON data is structured correctly, what's the best method for that?",You can use `JSONSchemaMatch(expected_schema={,43,44,frustrated_beginner,metrics/all_descriptors.mdx
"json schema validation, how?",Use `JSONSchemaMatch(expected_schema={,43,44,hurried_developer,metrics/all_descriptors.mdx
How do I check if my text excludes certain words?,"You can use the `ExcludesWords(words_list=['buy', 'sell', 'bet'])` descriptor to check if the text excludes all specified words.",28,29,context_assumer,metrics/all_descriptors.mdx
How do I test if a column contains valid SQL?,Use the `IsValidSQL()` descriptor to check if the column contains a valid SQL query without executing the query. It returns True/False for every input.,46,46,direct_inquirer,metrics/all_descriptors.mdx
"I can't find where to see the statistics for my dataset, how can I check it?","Use `DatasetStats()` for descriptive statistics, which calculates stats including columns by type, rows, missing values, empty columns, etc. You can find more details on how to use it on the Preset page.",83,86,frustrated_beginner,metrics/all_metrics.mdx
data quality metrics,"For data quality at the dataset level, you can use metrics like `ConstantColumnsCount()`, `EmptyRowsCount()`, and `DuplicatedRowCount()`. These metrics help identify constant columns, empty rows, and duplicated rows respectively.",90,110,hurried_developer,metrics/all_metrics.mdx
How do I create a report to check my text evaluation results?,"To summarize results of text or LLM evals, first use descriptors with `TextEvals()`. You have to specify the descriptors and can check the details in the documentation about these metrics.",21,30,context_assumer,metrics/all_metrics.mdx
Can I get a confusion matrix using the classification metrics?,"Yes, you can obtain a confusion matrix as part of the visualizations available when using metrics like `Precision()` and `Recall()` in classification tasks.",145,145,direct_inquirer,metrics/all_metrics.mdx
"I want to know what templates I can use for my dataset evaluations, where do I find them?","You can find pre-built evaluation templates that are easy to run without setup. They are categorized into various types such as Text Evals for text and LLMs, Data Drift for data distribution drift detection, Data Summary for dataset overview and statistics, Classification for quality for classification tasks, and Regression for quality for regression tasks. You can create a custom setup later if needed.",1,29,frustrated_beginner,metrics/all_presets.mdx
"I can't find where to adjust the default drift detection method, what do I do?","You can override the defaults by passing a custom parameter to the chosen Metric or Preset. You can modify the drift detection method (choose from 20+ available), thresholds, or both.",3,3,frustrated_beginner,metrics/customize_data_drift.mdx
data drift methods list,"You can also specify the drift detection methods used on the column level. For example, to use PSI (Population Stability Index) for all columns in the dataset:...",31,39,hurried_developer,metrics/customize_data_drift.mdx
How do I set a custom threshold for drift detection?,"You can set thresholds for each method. For example, use PSI with a threshold of 0.3 for categorical columns:...",45,53,context_assumer,metrics/customize_data_drift.mdx
What is drift share?,Defines the share of drifting columns as a condition for Dataset Drift. Default: 0.5,73,73,direct_inquirer,metrics/customize_data_drift.mdx
"I'm trying to check if my data column is empty, how do I do that in Python?","You can define a `CustomColumnDescriptor` that will take any column from your dataset to evaluate each value inside it. Implement it as a Python function that takes a Pandas Series as input and returns a transformed Series. For example, to check if the column is empty, you can create a function like this: ```python
def is_empty(data: DatasetColumn) -> DatasetColumn:
    return DatasetColumn(
        type=""cat"",
        data=pd.Series([
            ""EMPTY"" if val == """" else ""NON EMPTY""
            for val in data.data]))
```",43,57,frustrated_beginner,metrics/customize_descriptor.mdx
"I can't find where to set the threshold for drift detection, can you help?","You can define the threshold by passing a custom `drift_method` parameter to the relevant Metric or Test. For example, when using the model drift method, you can specify `threshold = 0.55` in the method parameters.",111,121,frustrated_beginner,metrics/customize_embedding_drift.mdx
how to include specific columns in presets?,"To specify which subsets of columns with embeddings to include using presets like `NoTargetPerformanceTestPreset`, `DataDriftTestPreset` or `DataDriftPreset`, you can use the `embeddings` parameter. For example, to include specific sets of columns, you would set `embeddings = ['set1', 'set2']`.",66,80,hurried_developer,metrics/customize_embedding_drift.mdx
